,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,day_of_week,day_of_month,month_of_year,quarter_of_year,year
0,2000-03-02 00:00:00-05:00,1.7488399744033813,2.498339891433716,1.7488399744033813,2.498339891433716,2562,0.0,0.0,0.0,3,2,3,1,2000
1,2000-03-03 00:00:00-05:00,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,80,0.0,0.0,0.0,4,3,3,1,2000
2,2000-03-06 00:00:00-05:00,2.498339891433716,2.498339891433716,2.498339891433716,2.498339891433716,240,0.0,0.0,0.0,0,6,3,1,2000
3,2000-03-07 00:00:00-05:00,4.372089862823486,4.372089862823486,4.372089862823486,4.372089862823486,0,0.0,0.0,0.0,1,7,3,1,2000
4,2000-03-08 00:00:00-05:00,4.372089862823486,4.372089862823486,4.372089862823486,4.372089862823486,0,0.0,0.0,0.0,2,8,3,1,2000
5,2000-03-09 00:00:00-05:00,4.372089862823486,4.372089862823486,4.372089862823486,4.372089862823486,0,0.0,0.0,0.0,3,9,3,1,2000
6,2000-03-10 00:00:00-05:00,2.248500108718872,2.248500108718872,2.248500108718872,2.248500108718872,400,0.0,0.0,0.0,4,10,3,1,2000
7,2000-03-13 00:00:00-05:00,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,817,0.0,0.0,0.0,0,13,3,1,2000
8,2000-03-14 00:00:00-05:00,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,801,0.0,0.0,0.0,1,14,3,1,2000
9,2000-03-15 00:00:00-05:00,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,2001,0.0,0.0,0.0,2,15,3,1,2000
10,2000-03-16 00:00:00-05:00,1.8737499713897705,1.8737499713897705,1.8737499713897705,1.8737499713897705,0,0.0,0.0,0.0,3,16,3,1,2000
11,2000-03-17 00:00:00-05:00,1.8737499713897705,1.998669981956482,1.8737499713897705,1.998669981956482,440,0.0,0.0,0.0,4,17,3,1,2000
12,2000-03-20 00:00:00-05:00,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0,0.0,0.0,0.0,0,20,3,1,2000
13,2000-03-21 00:00:00-05:00,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0,0.0,0.0,0.0,1,21,3,1,2000
14,2000-03-22 00:00:00-05:00,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0,0.0,0.0,0.0,2,22,3,1,2000
15,2000-03-23 00:00:00-05:00,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,400,0.0,0.0,0.0,3,23,3,1,2000
16,2000-03-24 00:00:00-05:00,1.998669981956482,1.998669981956482,1.998669981956482,1.998669981956482,0,0.0,0.0,0.0,4,24,3,1,2000
17,2000-03-27 00:00:00-05:00,3.122920036315918,3.122920036315918,1.4989999532699585,1.4989999532699585,1327,0.0,0.0,0.0,0,27,3,1,2000
18,2000-03-28 00:00:00-05:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,1,28,3,1,2000
19,2000-03-29 00:00:00-05:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,2,29,3,1,2000
20,2000-03-30 00:00:00-05:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,3,30,3,1,2000
21,2000-03-31 00:00:00-05:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,4,31,3,1,2000
22,2000-04-03 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,0,3,4,2,2000
23,2000-04-04 00:00:00-04:00,2.7481698989868164,2.7481698989868164,2.7481698989868164,2.7481698989868164,0,0.0,0.0,0.0,1,4,4,2,2000
